42499 111783
0 24905 11.404411630973597
1 234 4200.425395993901
1 24860 505.57123890025866
1 207 103.71180360578384
2 3 71.77999631767895
2 8190 176.786123015128
2 24847 83.08232671687904
3 24851 18.088945611507423
3 2 71.77999631767894
3 24845 63.36982364484881
4 24823 12.11768218590116
4 7810 201.92568561910696
4 10774 109.41203304060309
5 5974 114.51941668577086
5 5952 25.92877062029047
5 11880 54.26517522736199
6 18081 23.02930325432808
6 18083 11.833690553911113
6 69 679.6067789770369
7 10774 8.474457895538478
7 9630 7.49736279425756
8 38957 15.38006306494171
8 18632 165.2266031529881
8 16837 53.5868595009151
9 1036 28.757519827485698
9 15519 1.1200185203415893
9 18846 28.541594213629075
10 11711 111.65290114217193
10 357 36.22422980852774
10 37451 18.7528718389285
11 10605 93.1489029375591
12 11194 29.732238809948903
12 10606 128.3895705895
12 343 15.878562409382464
12 341 12.247833195559656
13 19473 22.145329406487974
13 11211 24.146684165474856
13 19471 49.126237333325854
13 37409 186.7451209562259
14 10753 17.323894922707172
14 1745 370.7669356094132
14 1744 31.47576322907703
15 313 27.36406840092226
15 11857 30.939733080037048
15 312 235.625693970371
16 609 9.55336414527525
16 332 26.574325308198834
16 9588 57.4451323334367
17 19 63.792819517542576
18 19 37.33114294675929
18 9580 33.679252566229174
18 11853 93.38252456238156
19 609 22.571961486239815
19 18 37.33114294675929
19 17 63.792819517542576
20 8188 54.41193102911743
20 23661 1348.7919908059562
21 8188 21.227732479696133
21 20 58.56966505739092
22 8189 31.073250981878783
22 41669 442.813240013008
23 31565 2071.56497928927
24 208 535.1018126003462
25 465 71.94763802900148
25 33666 39.634541470517775
25 463 162.77488378303315
25 33594 379.9575480009575
26 32296 609.9638146236518
26 32295 572.0844841100104
26 467 231.07200997607572
27 209 21.745903191004913
27 33418 828.3694549759874
27 465 691.8175005765663
28 23191 52.084295868507034
28 22530 373.8586328405347
29 41329 38.86089515576804
29 22917 35.84154498055159
30 22933 97.99112038745182
30 22899 1179.9584650055915
31 23487 281.04120817724635
31 22942 438.3223724208127
32 19610 1659.3576617831104
33 19610 54.330915818353
33 11747 37.355215836913494
33 10774 106.9340931726063
34 24770 14.36308127975984
34 41736 495.10329145845094
34 24771 12.250281065614484
35 23865 174.89871921928227
36 27655 3.1184185509861067
36 763 132.48802397394297
36 771 26.577194962926775
37 27580 53.38643636794457
37 27578 42.131394712944704
37 28265 116.43449036615823
38 596 949.7500860131796
38 27975 677.4259519922373
38 33751 862.1525702072688
39 27427 4.688674623284422
39 28265 755.9977015997931
39 27423 122.43324296652848
40 36023 98.16304013270846
40 27515 180.60583332791725
40 27423 21.173295107696543
41 29551 119.84953015193895
41 9695 339.80564406912407
41 36024 1435.7798343691443
42 709 110.67998721361072
42 33097 120.94796639369488
42 33349 275.0325645132008
42 711 156.78752210294618
43 33922 234.24448926696405
43 381 4.698004987570499
43 34034 97.28109156457889
44 33441 111.27118037654137
44 32180 254.25143449829093
44 34668 34.01525936764694
45 1071 8.984568096643974
45 47 856.1253969560908
45 30372 54.494719408965146
46 405 25.69054517184383
46 33441 84.30063847509925
46 34170 21.847781648087295
47 30942 91.37719426221993
